BIC,description
1,"No issues if there are atleast 1 secgroup defined for the server.
If no secgroups are defined for the server, it fails with 400 error.
$ nova --debug list-secgroup vp25q00cs-osfe11b124f4.isg.apple.com
.
.
.
RESP: [400] CaseInsensitiveDict({'date': 'Wed, 12 Mar 2014 17:08:11 GMT', 'content-length': '141', 'content-type': 'application/json; charset=UTF-8', 'x-compute-request-id': 'req-20cb1b69-a69c-435c-9e85-3eec2fb2ae61'})
RESP BODY: {""badRequest"": {""message"": ""The server could not comply with the request since it is either malformed or otherwise incorrect."", ""code"": 400}}
DEBUG (shell:740) The server could not comply with the request since it is either malformed or otherwise incorrect. (HTTP 400) (Request-ID: req-20cb1b69-a69c-435c-9e85-3eec2fb2ae61)
Traceback (most recent call last):
  File ""/Library/Python/2.7/site-packages/novaclient/shell.py"", line 737, in main
    OpenStackComputeShell().main(map(strutils.safe_decode, sys.argv[1:]))
  File ""/Library/Python/2.7/site-packages/novaclient/shell.py"", line 673, in main
    args.func(self.cs, args)
  File ""/Library/Python/2.7/site-packages/novaclient/v1_1/shell.py"", line 1904, in do_list_secgroup
    groups = server.list_security_group()
  File ""/Library/Python/2.7/site-packages/novaclient/v1_1/servers.py"", line 328, in list_security_group
    return self.manager.list_security_group(self)
  File ""/Library/Python/2.7/site-packages/novaclient/v1_1/servers.py"", line 883, in list_security_group
    base.getid(server), 'security_groups', SecurityGroup)
  File ""/Library/Python/2.7/site-packages/novaclient/base.py"", line 61, in _list
    _resp, body = self.api.client.get(url)
  File ""/Library/Python/2.7/site-packages/novaclient/client.py"", line 229, in get
    return self._cs_request(url, 'GET', **kwargs)
  File ""/Library/Python/2.7/site-packages/novaclient/client.py"", line 213, in _cs_request
    **kwargs)
  File ""/Library/Python/2.7/site-packages/novaclient/client.py"", line 195, in _time_request
    resp, body = self.request(url, method, **kwargs)
  File ""/Library/Python/2.7/site-packages/novaclient/client.py"", line 189, in request
    raise exceptions.from_response(resp, body, url, method)
BadRequest: The server could not comply with the request since it is either malformed or otherwise incorrect. (HTTP 400) (Request-ID: req-20cb1b69-a69c-435c-9e85-3eec2fb2ae61)
ERROR: The server could not comply with the request since it is either malformed or otherwise incorrect. (HTTP 400) (Request-ID: req-20cb1b69-a69c-435c-9e85-3eec2fb2ae61)"
1,"When creating a snapshot from a VM instance, following error appears in Nova compute log:
 2013-12-17 10:39:47.943 28210 ERROR nova.openstack.common.rpc.amqp [req-3a82cad9-3213-47e8-8a42-0f6e2a75008a a2eecc1caf5f40c5ab50405b68730c20 e255029e4a614ed1a5412192db588e74] Exception during message handling
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp Traceback (most recent call last):
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp File ""/usr/lib/python2.7/dist-packages/nova/openstack/common/rpc/amqp.py"", line 461, in _process_data
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp **args)
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp File ""/usr/lib/python2.7/dist-packages/nova/openstack/common/rpc/dispatcher.py"", line 172, in dispatch
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp result = getattr(proxyobj, method)(ctxt, **kwargs)
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp File ""/usr/lib/python2.7/dist-packages/nova/compute/manager.py"", line 353, in decorated_function
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp return function(self, context, *args, **kwargs)
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp File ""/usr/lib/python2.7/dist-packages/nova/exception.py"", line 90, in wrapped
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp payload)
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp File ""/usr/lib/python2.7/dist-packages/nova/exception.py"", line 73, in wrapped
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp return f(self, context, *args, **kw)
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp File ""/usr/lib/python2.7/dist-packages/nova/compute/manager.py"", line 243, in decorated_function
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp pass
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp File ""/usr/lib/python2.7/dist-packages/nova/compute/manager.py"", line 229, in decorated_function
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp return function(self, context, *args, **kwargs)
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp File ""/usr/lib/python2.7/dist-packages/nova/compute/manager.py"", line 271, in decorated_function
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp e, sys.exc_info())
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp File ""/usr/lib/python2.7/dist-packages/nova/compute/manager.py"", line 258, in decorated_function
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp return function(self, context, *args, **kwargs)
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp File ""/usr/lib/python2.7/dist-packages/nova/compute/manager.py"", line 319, in decorated_function
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp % image_id, instance=instance)
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp File ""/usr/lib/python2.7/dist-packages/nova/compute/manager.py"", line 309, in decorated_function
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp *args, **kwargs)
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp File ""/usr/lib/python2.7/dist-packages/nova/compute/manager.py"", line 2293, in snapshot_instance
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp task_states.IMAGE_SNAPSHOT)
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp File ""/usr/lib/python2.7/dist-packages/nova/compute/manager.py"", line 2324, in _snapshot_instance
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp update_task_state)
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp File ""/usr/lib/python2.7/dist-packages/nova/virt/libvirt/driver.py"", line 1399, in snapshot
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp snapshot_backend.snapshot_extract(out_path, image_format)
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp File ""/usr/lib/python2.7/dist-packages/nova/virt/libvirt/imagebackend.py"", line 531, in snapshot_extract
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp images.convert_image(snap, target, out_format)
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp File ""/usr/lib/python2.7/dist-packages/nova/virt/images.py"", line 179, in convert_image
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp utils.execute(*cmd, run_as_root=run_as_root)
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp File ""/usr/lib/python2.7/dist-packages/nova/utils.py"", line 177, in execute
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp return processutils.execute(*cmd, **kwargs)
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp File ""/usr/lib/python2.7/dist-packages/nova/openstack/common/processutils.py"", line 178, in execute
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp cmd=' '.join(cmd))
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp ProcessExecutionError: Unexpected error while running command.
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp Command: qemu-img convert -O qcow2 rbd:instances/instance-0000000f_disk /var/lib/nova/instances/snapshots/tmp63tXq0/b916d3ca7fbe46cba4ca7ce5e0138ee9
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp Exit code: 1
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp Stdout: ''
2013-12-17 10:39:47.943 28210 TRACE nova.openstack.common.rpc.amqp Stderr: ""qemu-img: error connecting\nqemu-img: Could not open 'rbd:instances/instance-0000000f_disk': Operation not supported\nqemu-img: Could not open 'rbd:instances/instance-0000000f_disk'\n"""
1,"When there is hypervisor gets removed, the compute_node_get_all() will not return stat for new added hypervisors.

In the following codes of compute_node_get_all() of nova/db/sqlalchemy, it assume all the record in compute_node_stats should have a matched compute node. However in current implementation of nova conductor API of compute_node_delete(), the records in compute_node_stats is not deleted. Therefore when a hypervisor gets removed, there is no node matching the record of compute_node_stats which belongs to the removed hypervisor in following codes. As a result, all the nodes will be set with 'stats' of [].

    # Join ComputeNode & ComputeNodeStat manually.
    # NOTE(msdubov): ComputeNode and ComputeNodeStat map 1-to-Many.
    # Running time is (asymptotically) optimal due to the use
    # of iterators (itertools.groupby() for ComputeNodeStat and
    # iter() for ComputeNode) - we handle each record only once.
    compute_nodes.sort(key=lambda node: node['id'])
    compute_nodes_iter = iter(compute_nodes)
    for nid, nsts in itertools.groupby(stats, lambda s: s['compute_node_id']):
        for node in compute_nodes_iter:
            if node['id'] == nid:
                node['stats'] = list(nsts)
                break
            else:
                node['stats'] = []

    return compute_nodes

We need enhance either nova conductor API to clean up all the record related with instance."
1,"Seem to be experiencing a bug with libvirt.xml device formatting when --ephemeral flag is used after initial booth and then use of nova stop/start or nova reboot --hard. We are using following libvirt options in nova.conf for storage:
libvirt_images_type=lvm
libvirt_images_volume_group=vglocal
When normally using nova boot with a flavor that has ephemeral defined it create two LVM volumes appropriatly ex.
instance-0000077e_disk
instance-0000077e_disk.local
The instance libvirt.xml contains disk devices entry as follows:
<devices>
    <disk type=""block"" device=""disk"">
      <driver name=""qemu"" type=""raw"" cache=""none""/>
      <source dev=""/dev/vgephemeral/instance-0000077e_disk""/>
      <target bus=""virtio"" dev=""vda""/>
    </disk>
    <disk type=""block"" device=""disk"">
      <driver name=""qemu"" type=""raw"" cache=""none""/>
      <source dev=""/dev/vgephemeral/instance-0000077e_disk.local""/>
      <target bus=""virtio"" dev=""vdb""/>
    </disk>
If we use ""nova boot --flavor 757c75fa-0b6d-4d4f-a128-27813009bff4 --image caa978e0-acae-4205-a4a4-2cf159c166fd --nic net-id=44f2fb0b-0a7a-475c-8fff-54cd4b37958b --ephemeral size=1 --ephemeral size=1 localdisk-1"" the LVM disks for ephemeral goes through enumeration logic whether there is one or more --ephemeral options
 instance-000007ed_disk
 instance-000007ed_disk.eph0
 instance-000007ed_disk.eph1
The instance libvirt.xml after instance spawn has disk device entries like below and the instances happily boots.
 <devices>
    <disk type=""block"" device=""disk"">
      <driver name=""qemu"" type=""raw"" cache=""none""/>
      <source dev=""/dev/vgephemeral/instance-000007ed_disk""/>
      <target bus=""virtio"" dev=""vda""/>
    </disk>
    <disk type=""block"" device=""disk"">
      <driver name=""qemu"" type=""raw"" cache=""none""/>
      <source dev=""/dev/vgephemeral/instance-000007ed_disk.eph0""/>
      <target bus=""virtio"" dev=""vdb""/>
    </disk>
    <disk type=""block"" device=""disk"">
      <driver name=""qemu"" type=""raw"" cache=""none""/>
      <source dev=""/dev/vgephemeral/instance-000007ed_disk.eph1""/>
      <target bus=""virtio"" dev=""vdc""/>
    </disk>
If nova stop/start or nova reboot --hard is executed the instance is destroyed and libvirt.xml gets recreated. At this stage whatever values we passed with --ephemeral are not respected and libvirt.xml revirts to configuration that would have been generated without the use of the --ephemeral option like below where we only have one extra disk and it is not using the enumerated naming.
  <devices>
    <disk type=""block"" device=""disk"">
      <driver name=""qemu"" type=""raw"" cache=""none""/>
      <source dev=""/dev/vgephemeral/instance-000007ed_disk""/>
      <target bus=""virtio"" dev=""vda""/>
    </disk>
    <disk type=""block"" device=""disk"">
      <driver name=""qemu"" type=""raw"" cache=""none""/>
      <source dev=""/dev/vgephemeral/instance-000007ed_disk.local""/>
      <target bus=""virtio"" dev=""vdb""/>
    </disk>
This causes instances booting to fail at this stage. The nova block_device_mapping table has records for all 3 devices."
1,"novaclient has following option
--ephemeral size=<size>[,format=<format>]
                        Create and attach a local ephemeral block device of
                        <size> GB and format it to <format>.
so
nova boot --flavor 21 --key_name mykey --image 43ca519b-979b-4803-95ad-b9f160f1a337 --security_group default --ephemeral size=1 --ephemeral size=2,format=ext4 test12
should work
however, the eph disk created is ext3 ,ignore the option specified by format"
1,"process_port_binding is always called when a port is updated: https://github.com/openstack/neutron/blob/master/neutron/plugins/ml2/plugin.py#L617
However, its current implementation: https://github.com/openstack/neutron/blob/master/neutron/plugins/ml2/plugin.py#L202
Return True, hence triggering a notification in many cases.
The code has a check for returning false when the host is not set and the vif is already bound: https://github.com/openstack/neutron/blob/master/neutron/plugins/ml2/plugin.py#L213
However, this is perhaps not triggered in many cases.
As an example, in this job: http://logs.openstack.org/20/57420/9/experimental/check-tempest-devstack-vm-neutron-isolated-parallel/269a314
Of 538 update_port calls to the plugin, process_port_binding turns need_port_update_notify from False to Truue in
It is therefore worth ensuring no notification is sent if the host doesn't change (the other binding parameters should not change on update and even if they can they should not trigger a notification) in 72 cases out of 82 cases where the flag was false before invoking process_port_binding
Looking at the logs - the port should not have been notified because of bindings in any case."
1,"Steps to Reproduce:
1. Create network, subnet
2.Create pool,member vip and healthmonitor.
neutron lb-pool-list
+--------------------------------------+-------+----------+-------------+----------+----------------+--------+
| id | name | provider | lb_method | protocol | admin_state_up | status |
+--------------------------------------+-------+----------+-------------+----------+----------------+--------+
| d488b38e-c8f1-4db6-bb5f-8b2500bef0ed | pool1 | haproxy | ROUND_ROBIN | HTTP | True | ACTIVE |
+--------------------------------------+-------+----------+-------------+----------+----------------+--------+
neutron lb-member-list
+--------------------------------------+-----------+---------------+----------------+--------+
| id | address | protocol_port | admin_state_up | status |
+--------------------------------------+-----------+---------------+----------------+--------+
| 303f3d66-c51c-4c92-b5da-d43440db9fb2 | 10.10.1.5 | 80 | True | ACTIVE |
| ac58985b-49de-480e-97e5-bff80a538c87 | 10.10.1.4 | 80 | True | ACTIVE |
+--------------------------------------+-----------+---------------+----------------+--------+
4. Validate the algorithm and try to send request from server to client .
5. Check the lp-pool-stats for the pool created.
Actual Results:
neutron lb-pool-stats pool1
+--------------------+-------+
| Field | Value |
+--------------------+-------+
| active_connections | 0 |
| bytes_in | 1440 |
| bytes_out | 560 |
| total_connections | 0 |
+--------------------+-------+
Connections in response for this command always show 0
Expected Results: Active connection should show the value when the connection is active and total connenction should show total number of active connections"
0,"The links in the GET /v1 response do not work and should be removed. Replace the PDF link with a link to docs.openstack.org.
{
   ""version"":{
      ""status"":""CURRENT"",
      ""updated"":""2012-01-04T11:33:21Z"",
      ""media-types"":[
         {
            ""base"":""application/xml"",
            ""type"":""application/vnd.openstack.volume+xml;version=1""
         },
         {
            ""base"":""application/json"",
            ""type"":""application/vnd.openstack.volume+json;version=1""
         }
      ],
      ""id"":""v1.0"",
      ""links"":[
         {
            ""href"":""http://23.253.228.211:8776/v1/"",
            ""rel"":""self""
         },
         {
            ""href"":""http://jorgew.github.com/block-storage-api/content/os-block-storage-1.0.pdf"",
            ""type"":""application/pdf"",
            ""rel"":""describedby""
         },
         {
            ""href"":""http://docs.rackspacecloud.com/servers/api/v1.1/application.wadl"",
            ""type"":""application/vnd.sun.wadl+xml"",
            ""rel"":""describedby""
         }
      ]
   }
}"
0,"Glance v2 image property quota enforcement can be unintuitive.
There are a number of reasons an image may have more properties than the image_propery_quota allows. E.g. if the quota is lowered or when it is first created. If this happens then any request to modify an image must result in the image being under the new quota. This means that even if the user is removing quotas they can still get an 413 overlimit from glance if the result would still be over the limit.
This is not a great user experience and is unintuitive. Ideally a user should be able to remove properties or any other action except for adding a property when they are over their quota for a given image."
1,"When lazy message translation is enabled in Nova, the check_update.sh calls generate_sample.sh, which uses a copy of oslo's config/generator.py which produces the following message:
CRITICAL nova [-] TypeError: Message objects do not support addition.
The config/generator.py module installs i18n without lazy enabled (named parameter 'lazy' not specified):
gettextutils.install('nova')
To gather information about the projects options, it loads the project modules looking for entry points. When these modules are loaded, they may contain code to enable lazy. In the case of Nova this is the nova/cmds/__init__.py which calls:
gettextutils.enable_lazy()
This means that the messages returned with information for the entry points are lazy enabled. Thus when config/generator.py tries to work with the help message for the option associated with the Nova modules:
opt_help += ' (' + OPT_TYPES[opt_type] + ')'
it fails because opt_help is a gettextutils.Message instance, which doesn't support addition."
1,"If fixed IP allocation fails, for example because nova's network interfaces got renamed after a reboot, nova will loop continuously trying, and failing, to create a new instance. For every attempted spawn the instance will end up with an additional fixed IP allocated to it. This is because the code is associating the IP, but not disassociating it if the function fails."
0,"The BigSwitch servermanager uses the synchronized decorators on rest backend calls. It currently sets the external flag to True, which isn't necessary since there aren't multiple independent processes running the plugin on the same host.
This results in the unnecessary creation of a lock file when it can just be handled by the default in-memory locks."
0,"The LVMISERDriver takes an option 'num_iser_scan_tries', but it appears that this is not being processed correctly.

The 'num_iscsi_scan_tries' option was renamed to 'num_volume_device_scan_tries', but setting this ISER option still sets the old configuration field which is never read.

(I have not tested this behavior, just found via code inspection.)"
0,"At now NEC plugin assumes REST API of OpenFlow controller starts with /, but NEC OpenFlow controller supports a prefix for REST API. NEC plugin allows to use URI prefix when talking with OpenFlow controller."
0,"This bug is relate with the following bug:
https://bugs.launchpad.net/neutron/+bug/1321864

The fix patch for the bug delete overlap check for fixed ip and allowed ip address range.

I think that we also need to remove the following code if we do not need to check fixed_ip and allowed address pair overlap:
https://github.com/openstack/neutron/blob/master/neutron/db/allowedaddresspairs_db.py
51 for fixed_ip in port['fixed_ips']:
52 if ((fixed_ip['ip_address'] == address_pair['ip_address'])
53 and (port['mac_address'] ==
54 address_pair['mac_address'])):
55 raise addr_pair.AddressPairMatchesPortFixedIPAndMac()

https://github.com/openstack/neutron/blob/master/neutron/extensions/allowedaddresspairs.py
35class AddressPairMatchesPortFixedIPAndMac(nexception.InvalidInput):
36 message = _(""Port's Fixed IP and Mac Address match an address pair entry."")"
0,"test_uri_length_limit honours HTTP_PROXY (if set). This means the test queries to http://localhost:$port/ hit the wrong localhost when $HTTP_PROXY is another host, resulting in a meaningless test scenario, and apparent failures with HTTP status codes other than REQUEST_URI_TOO_LARGE (414)."
1,"2014-09-11 01:38:57.752 22667 ERROR neutron.api.v2.base [req-91733c92-6d15-4fd1-97b6-edcd704280d3 None] Request body: {u'subnets': None}
2014-09-11 01:38:57.752 22667 ERROR neutron.api.v2.resource [req-91733c92-6d15-4fd1-97b6-edcd704280d3 None] create failed
2014-09-11 01:38:57.752 22667 TRACE neutron.api.v2.resource Traceback (most recent call last):
2014-09-11 01:38:57.752 22667 TRACE neutron.api.v2.resource File ""/usr/lib/python2.7/site-packages/neutron/api/v2/resource.py"", line 87, in resource
2014-09-11 01:38:57.752 22667 TRACE neutron.api.v2.resource result = method(request=request, **args)
2014-09-11 01:38:57.752 22667 TRACE neutron.api.v2.resource File ""/usr/lib/python2.7/site-packages/neutron/api/v2/base.py"", line 357, in create
2014-09-11 01:38:57.752 22667 TRACE neutron.api.v2.resource allow_bulk=self._allow_bulk)
2014-09-11 01:38:57.752 22667 TRACE neutron.api.v2.resource File ""/usr/lib/python2.7/site-packages/neutron/api/v2/base.py"", line 573, in prepare_request_body
2014-09-11 01:38:57.752 22667 TRACE neutron.api.v2.resource bulk_body = [prep_req_body(item) for item in body[collection]]
2014-09-11 01:38:57.752 22667 TRACE neutron.api.v2.resource TypeError: 'NoneType' object is not iterable"
0,Updates network description and validates multicast ip range check
0,"All the operations (create, update or delete) haven't been covered by unit tests.
Bug #1324450 about the delete operations would have been caught."
0,"BaremetalHostManager could distinguish baremetal hosts by checking ""baremetal_driver"" exists in capabilities or not. However, now BaremetalHostManager cannot, because capabilities are not reported to scheduler and BaremetalHostManager always receives empty capabilities. As a result, BaremetalHostManager just does the same thing as the original HostManager."
1,"When running the driver certification tests for Icehouse, we found a bug with the 3PAR FC/iSCSI drivers.
The tempest test calls cinder to create a clone of a volume, and then immediately calls delete on the clone. The 3PAR won't allow you to do that unless you stop the copy first. You get a very generic exception, that isn't helpful."
1,"The DHCP requests were not being responded to after they were seen on the undercloud network interface. The neutron services were restarted in an attempt to ensure they had the newest configuration and knew they were supposed to respond to the requests.
Rather than using the heat stack create (called in devtest_overcloud.sh) to test, it was simple to use the following to directly boot a baremetal node.
    nova boot --flavor $(nova flavor-list | grep ""|[[:space:]]*baremetal[[:space:]]*|"" | awk '{print $2}) \
          --image $(nova image-list | grep ""|[[:space:]]*overcloud-control[[:space:]]*|"" | awk '{print $2}') \
          bm-test1
Whilst the baremetal node was attempting to pxe boot a restart of the neutron services was performed. This allowed the baremetal node to boot.
It has been observed that a neutron restart was needed for each subsequent reboot of the baremetal nodes to succeed."
0," SSHPool is using paramiko.AutoAddPolicy() as default. This may lead security issue without being notified. The utility should allow customized usage when create the pool or session. Also the host_keys file should be allowed to be customized so that any driver utilizing the SSHPool should have their customized security setting or delegate to customer's scenario & configuration to determine the policy and key files."""
1,"During the investigation of bug 1231704,
I noticed it is valid that there is no session persistence attribute
and it means no session persistence mechanism is used in load balancing.
It seems an intentional behavior according to the code:
https://github.com/openstack/neutron/blob/master/neutron/db/loadbalancer/loadbalancer_db.py#L241
IMHO, it is confusing that it is determined whether session_persisntece is returned or not by session persistence mode. I would suggest that returning ""session_persistence: null"" (or {}) when no session_persistence is used.
In addition, if we send {'session_persistence': null} in lb-vip-update, session_persistence is cleared.
It looks reasonable to me that ""session_persistence = null"" means no session_persistence is used.
From the point of view of API, I believe all defined attributes in an extension should be returned in a response.
I would like to ask opinions from the community."
0,"Unit tests for neutron's linux dhcp section use an invalid prefix and host address.
https://github.com/openstack/neutron/blob/master/neutron/tests/unit/test_linux_dhcp.py#L129"
1,"cinder/volume/drivers/netapp/iscsi.py and
cinder/volume/drivers/netapp/utils.py are used as follows.

  raise exception.InvalidInput(data=msg)

I think the following is correct.

  raise exception.InvalidInput(reason=msg)"
1,The db query used to look for instances in need of cleanup lacks a filter for soft-deleted instances.
1,"""os-start/os-stop"" server action does not work for V2.1 API.
Those needs to be converted to V2.1 from V3 base code.
This needs to be fixed to make V2.1 backward compatible with V2 APIs"
